energia_ativa_baixa_tensao_kwh,cpes_domestico_baixa_tensao,cpes_iluminacao_publica_baixa_tensao,cpes_nao_domestico_baixa_tensao,cpes_outros_baixa_tensao,cpes_mobilidade_eletrica_nao_baixa_tensao,cpes_mobilidade_eletrica_sim_baixa_tensao
12252934.51 - 18464831.15,40878.28 - 47539.03,517.50 - 575.57,7947.00 - 11173.19,148.16 - 218.69,66111.12 - 91019.96,28.31 - 47.28
139066.00 - 2983911.75,5377.91 - 8752.42,147.04 - 190.41,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,5377.91 - 8752.42,147.04 - 190.41,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,5377.91 - 8752.42,147.04 - 190.41,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,5377.91 - 8752.42,147.04 - 190.41,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,5377.91 - 8752.42,147.04 - 190.41,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,5377.91 - 8752.42,147.04 - 190.41,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,5377.91 - 8752.42,147.04 - 190.41,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,5377.91 - 8752.42,147.04 - 190.41,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,5377.91 - 8752.42,147.04 - 190.41,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,5377.91 - 8752.42,147.04 - 190.41,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,5377.91 - 8752.42,147.04 - 190.41,174.00 - 1556.31,1.00 - 38.21,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,5377.91 - 8752.42,147.04 - 190.41,174.00 - 1556.31,1.00 - 38.21,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,5377.91 - 8752.42,147.04 - 190.41,174.00 - 1556.31,1.00 - 38.21,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,5377.91 - 8752.42,147.04 - 190.41,174.00 - 1556.31,1.00 - 38.21,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,5377.91 - 8752.42,147.04 - 190.41,174.00 - 1556.31,1.00 - 38.21,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,5377.91 - 8752.42,147.04 - 190.41,174.00 - 1556.31,1.00 - 38.21,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,5377.91 - 8752.42,147.04 - 190.41,174.00 - 1556.31,1.00 - 38.21,8292.53 - 16488.92,0.00 - 3.87
2983911.75 - 6866211.91,8752.42 - 14844.51,190.41 - 238.40,3135.72 - 5235.35,83.89 - 148.16,16488.92 - 29385.43,0.00 - 3.87
2983911.75 - 6866211.91,8752.42 - 14844.51,190.41 - 238.40,3135.72 - 5235.35,83.89 - 148.16,16488.92 - 29385.43,0.00 - 3.87
2983911.75 - 6866211.91,8752.42 - 14844.51,190.41 - 238.40,3135.72 - 5235.35,83.89 - 148.16,16488.92 - 29385.43,0.00 - 3.87
6866211.91 - 12252934.51,8752.42 - 14844.51,190.41 - 238.40,3135.72 - 5235.35,148.16 - 218.69,16488.92 - 29385.43,0.00 - 3.87
6866211.91 - 12252934.51,8752.42 - 14844.51,190.41 - 238.40,3135.72 - 5235.35,148.16 - 218.69,16488.92 - 29385.43,3.87 - 12.51
6866211.91 - 12252934.51,8752.42 - 14844.51,190.41 - 238.40,3135.72 - 5235.35,83.89 - 148.16,16488.92 - 29385.43,3.87 - 12.51
6866211.91 - 12252934.51,8752.42 - 14844.51,190.41 - 238.40,3135.72 - 5235.35,83.89 - 148.16,16488.92 - 29385.43,3.87 - 12.51
6866211.91 - 12252934.51,8752.42 - 14844.51,190.41 - 238.40,3135.72 - 5235.35,83.89 - 148.16,16488.92 - 29385.43,3.87 - 12.51
2983911.75 - 6866211.91,8752.42 - 14844.51,190.41 - 238.40,3135.72 - 5235.35,83.89 - 148.16,16488.92 - 29385.43,3.87 - 12.51
2983911.75 - 6866211.91,8752.42 - 14844.51,190.41 - 238.40,3135.72 - 5235.35,83.89 - 148.16,16488.92 - 29385.43,3.87 - 12.51
2983911.75 - 6866211.91,8752.42 - 14844.51,190.41 - 238.40,3135.72 - 5235.35,83.89 - 148.16,29385.43 - 46318.89,3.87 - 12.51
2983911.75 - 6866211.91,8752.42 - 14844.51,190.41 - 238.40,3135.72 - 5235.35,83.89 - 148.16,29385.43 - 46318.89,3.87 - 12.51
2983911.75 - 6866211.91,8752.42 - 14844.51,190.41 - 238.40,3135.72 - 5235.35,83.89 - 148.16,29385.43 - 46318.89,3.87 - 12.51
2983911.75 - 6866211.91,8752.42 - 14844.51,190.41 - 238.40,3135.72 - 5235.35,83.89 - 148.16,29385.43 - 46318.89,3.87 - 12.51
2983911.75 - 6866211.91,8752.42 - 14844.51,190.41 - 238.40,3135.72 - 5235.35,83.89 - 148.16,29385.43 - 46318.89,3.87 - 12.51
6866211.91 - 12252934.51,8752.42 - 14844.51,190.41 - 238.40,3135.72 - 5235.35,83.89 - 148.16,29385.43 - 46318.89,3.87 - 12.51
6866211.91 - 12252934.51,8752.42 - 14844.51,190.41 - 238.40,3135.72 - 5235.35,83.89 - 148.16,29385.43 - 46318.89,3.87 - 12.51
139066.00 - 2983911.75,5377.91 - 8752.42,100.27 - 147.04,1556.31 - 3135.72,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,5377.91 - 8752.42,100.27 - 147.04,1556.31 - 3135.72,1.00 - 38.21,1144.00 - 8292.53,3.87 - 12.51
139066.00 - 2983911.75,5377.91 - 8752.42,100.27 - 147.04,1556.31 - 3135.72,1.00 - 38.21,1144.00 - 8292.53,3.87 - 12.51
139066.00 - 2983911.75,5377.91 - 8752.42,100.27 - 147.04,1556.31 - 3135.72,1.00 - 38.21,1144.00 - 8292.53,3.87 - 12.51
139066.00 - 2983911.75,5377.91 - 8752.42,100.27 - 147.04,1556.31 - 3135.72,1.00 - 38.21,1144.00 - 8292.53,3.87 - 12.51
139066.00 - 2983911.75,5377.91 - 8752.42,100.27 - 147.04,1556.31 - 3135.72,1.00 - 38.21,1144.00 - 8292.53,3.87 - 12.51
139066.00 - 2983911.75,5377.91 - 8752.42,100.27 - 147.04,1556.31 - 3135.72,1.00 - 38.21,1144.00 - 8292.53,3.87 - 12.51
139066.00 - 2983911.75,5377.91 - 8752.42,100.27 - 147.04,1556.31 - 3135.72,1.00 - 38.21,1144.00 - 8292.53,3.87 - 12.51
139066.00 - 2983911.75,5377.91 - 8752.42,100.27 - 147.04,1556.31 - 3135.72,1.00 - 38.21,1144.00 - 8292.53,3.87 - 12.51
139066.00 - 2983911.75,5377.91 - 8752.42,100.27 - 147.04,1556.31 - 3135.72,1.00 - 38.21,1144.00 - 8292.53,3.87 - 12.51
139066.00 - 2983911.75,5377.91 - 8752.42,100.27 - 147.04,1556.31 - 3135.72,1.00 - 38.21,1144.00 - 8292.53,3.87 - 12.51
139066.00 - 2983911.75,5377.91 - 8752.42,100.27 - 147.04,1556.31 - 3135.72,1.00 - 38.21,1144.00 - 8292.53,3.87 - 12.51
139066.00 - 2983911.75,5377.91 - 8752.42,100.27 - 147.04,1556.31 - 3135.72,1.00 - 38.21,1144.00 - 8292.53,3.87 - 12.51
139066.00 - 2983911.75,5377.91 - 8752.42,100.27 - 147.04,1556.31 - 3135.72,1.00 - 38.21,1144.00 - 8292.53,3.87 - 12.51
139066.00 - 2983911.75,5377.91 - 8752.42,100.27 - 147.04,1556.31 - 3135.72,1.00 - 38.21,1144.00 - 8292.53,3.87 - 12.51
139066.00 - 2983911.75,5377.91 - 8752.42,100.27 - 147.04,1556.31 - 3135.72,1.00 - 38.21,1144.00 - 8292.53,3.87 - 12.51
139066.00 - 2983911.75,5377.91 - 8752.42,100.27 - 147.04,1556.31 - 3135.72,1.00 - 38.21,1144.00 - 8292.53,3.87 - 12.51
2983911.75 - 6866211.91,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,148.16 - 218.69,1144.00 - 8292.53,3.87 - 12.51
2983911.75 - 6866211.91,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,148.16 - 218.69,1144.00 - 8292.53,3.87 - 12.51
2983911.75 - 6866211.91,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,148.16 - 218.69,1144.00 - 8292.53,3.87 - 12.51
2983911.75 - 6866211.91,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,148.16 - 218.69,1144.00 - 8292.53,3.87 - 12.51
2983911.75 - 6866211.91,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,148.16 - 218.69,1144.00 - 8292.53,3.87 - 12.51
2983911.75 - 6866211.91,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,148.16 - 218.69,8292.53 - 16488.92,3.87 - 12.51
2983911.75 - 6866211.91,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,83.89 - 148.16,8292.53 - 16488.92,3.87 - 12.51
2983911.75 - 6866211.91,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,83.89 - 148.16,8292.53 - 16488.92,3.87 - 12.51
2983911.75 - 6866211.91,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,83.89 - 148.16,8292.53 - 16488.92,3.87 - 12.51
2983911.75 - 6866211.91,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,83.89 - 148.16,8292.53 - 16488.92,3.87 - 12.51
2983911.75 - 6866211.91,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,83.89 - 148.16,8292.53 - 16488.92,3.87 - 12.51
2983911.75 - 6866211.91,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,83.89 - 148.16,16488.92 - 29385.43,3.87 - 12.51
2983911.75 - 6866211.91,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,83.89 - 148.16,16488.92 - 29385.43,3.87 - 12.51
2983911.75 - 6866211.91,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,83.89 - 148.16,16488.92 - 29385.43,3.87 - 12.51
2983911.75 - 6866211.91,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,83.89 - 148.16,16488.92 - 29385.43,3.87 - 12.51
2983911.75 - 6866211.91,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,83.89 - 148.16,16488.92 - 29385.43,3.87 - 12.51
2983911.75 - 6866211.91,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,83.89 - 148.16,16488.92 - 29385.43,3.87 - 12.51
2983911.75 - 6866211.91,8752.42 - 14844.51,100.27 - 147.04,1556.31 - 3135.72,83.89 - 148.16,8292.53 - 16488.92,0.00 - 3.87
2983911.75 - 6866211.91,8752.42 - 14844.51,100.27 - 147.04,1556.31 - 3135.72,83.89 - 148.16,8292.53 - 16488.92,0.00 - 3.87
2983911.75 - 6866211.91,8752.42 - 14844.51,100.27 - 147.04,1556.31 - 3135.72,83.89 - 148.16,8292.53 - 16488.92,0.00 - 3.87
2983911.75 - 6866211.91,8752.42 - 14844.51,100.27 - 147.04,1556.31 - 3135.72,83.89 - 148.16,8292.53 - 16488.92,0.00 - 3.87
2983911.75 - 6866211.91,8752.42 - 14844.51,100.27 - 147.04,1556.31 - 3135.72,83.89 - 148.16,8292.53 - 16488.92,0.00 - 3.87
2983911.75 - 6866211.91,8752.42 - 14844.51,100.27 - 147.04,1556.31 - 3135.72,83.89 - 148.16,8292.53 - 16488.92,0.00 - 3.87
2983911.75 - 6866211.91,8752.42 - 14844.51,100.27 - 147.04,1556.31 - 3135.72,83.89 - 148.16,8292.53 - 16488.92,0.00 - 3.87
2983911.75 - 6866211.91,8752.42 - 14844.51,100.27 - 147.04,1556.31 - 3135.72,83.89 - 148.16,8292.53 - 16488.92,0.00 - 3.87
2983911.75 - 6866211.91,8752.42 - 14844.51,100.27 - 147.04,1556.31 - 3135.72,83.89 - 148.16,8292.53 - 16488.92,0.00 - 3.87
2983911.75 - 6866211.91,8752.42 - 14844.51,100.27 - 147.04,1556.31 - 3135.72,83.89 - 148.16,8292.53 - 16488.92,0.00 - 3.87
2983911.75 - 6866211.91,8752.42 - 14844.51,100.27 - 147.04,1556.31 - 3135.72,83.89 - 148.16,8292.53 - 16488.92,0.00 - 3.87
2983911.75 - 6866211.91,8752.42 - 14844.51,100.27 - 147.04,1556.31 - 3135.72,83.89 - 148.16,8292.53 - 16488.92,0.00 - 3.87
2983911.75 - 6866211.91,8752.42 - 14844.51,100.27 - 147.04,1556.31 - 3135.72,83.89 - 148.16,8292.53 - 16488.92,0.00 - 3.87
2983911.75 - 6866211.91,8752.42 - 14844.51,100.27 - 147.04,1556.31 - 3135.72,83.89 - 148.16,8292.53 - 16488.92,0.00 - 3.87
2983911.75 - 6866211.91,8752.42 - 14844.51,100.27 - 147.04,1556.31 - 3135.72,83.89 - 148.16,8292.53 - 16488.92,0.00 - 3.87
2983911.75 - 6866211.91,8752.42 - 14844.51,100.27 - 147.04,1556.31 - 3135.72,83.89 - 148.16,8292.53 - 16488.92,0.00 - 3.87
2983911.75 - 6866211.91,8752.42 - 14844.51,100.27 - 147.04,1556.31 - 3135.72,83.89 - 148.16,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,5377.91 - 8752.42,100.27 - 147.04,1556.31 - 3135.72,38.21 - 83.89,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,5377.91 - 8752.42,100.27 - 147.04,1556.31 - 3135.72,38.21 - 83.89,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,5377.91 - 8752.42,100.27 - 147.04,1556.31 - 3135.72,38.21 - 83.89,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,5377.91 - 8752.42,100.27 - 147.04,1556.31 - 3135.72,83.89 - 148.16,1144.00 - 8292.53,0.00 - 3.87
2983911.75 - 6866211.91,5377.91 - 8752.42,100.27 - 147.04,1556.31 - 3135.72,38.21 - 83.89,1144.00 - 8292.53,0.00 - 3.87
2983911.75 - 6866211.91,5377.91 - 8752.42,100.27 - 147.04,1556.31 - 3135.72,38.21 - 83.89,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,5377.91 - 8752.42,100.27 - 147.04,1556.31 - 3135.72,38.21 - 83.89,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,5377.91 - 8752.42,100.27 - 147.04,1556.31 - 3135.72,38.21 - 83.89,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,5377.91 - 8752.42,100.27 - 147.04,1556.31 - 3135.72,38.21 - 83.89,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,5377.91 - 8752.42,100.27 - 147.04,1556.31 - 3135.72,38.21 - 83.89,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,5377.91 - 8752.42,100.27 - 147.04,1556.31 - 3135.72,38.21 - 83.89,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,5377.91 - 8752.42,100.27 - 147.04,1556.31 - 3135.72,38.21 - 83.89,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,5377.91 - 8752.42,100.27 - 147.04,1556.31 - 3135.72,38.21 - 83.89,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,5377.91 - 8752.42,100.27 - 147.04,1556.31 - 3135.72,38.21 - 83.89,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,5377.91 - 8752.42,100.27 - 147.04,1556.31 - 3135.72,83.89 - 148.16,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,5377.91 - 8752.42,100.27 - 147.04,1556.31 - 3135.72,83.89 - 148.16,8292.53 - 16488.92,0.00 - 3.87
2983911.75 - 6866211.91,5377.91 - 8752.42,100.27 - 147.04,1556.31 - 3135.72,83.89 - 148.16,8292.53 - 16488.92,0.00 - 3.87
12252934.51 - 18464831.15,32321.75 - 40878.28,355.01 - 407.69,5235.35 - 7947.00,218.69 - 308.75,46318.89 - 66111.12,0.00 - 3.87
12252934.51 - 18464831.15,32321.75 - 40878.28,355.01 - 407.69,5235.35 - 7947.00,218.69 - 308.75,46318.89 - 66111.12,0.00 - 3.87
12252934.51 - 18464831.15,32321.75 - 40878.28,355.01 - 407.69,5235.35 - 7947.00,218.69 - 308.75,46318.89 - 66111.12,0.00 - 3.87
12252934.51 - 18464831.15,32321.75 - 40878.28,355.01 - 407.69,5235.35 - 7947.00,218.69 - 308.75,46318.89 - 66111.12,0.00 - 3.87
12252934.51 - 18464831.15,32321.75 - 40878.28,355.01 - 407.69,5235.35 - 7947.00,218.69 - 308.75,46318.89 - 66111.12,3.87 - 12.51
12252934.51 - 18464831.15,32321.75 - 40878.28,355.01 - 407.69,5235.35 - 7947.00,218.69 - 308.75,46318.89 - 66111.12,3.87 - 12.51
12252934.51 - 18464831.15,32321.75 - 40878.28,355.01 - 407.69,5235.35 - 7947.00,218.69 - 308.75,46318.89 - 66111.12,3.87 - 12.51
12252934.51 - 18464831.15,32321.75 - 40878.28,355.01 - 407.69,5235.35 - 7947.00,218.69 - 308.75,46318.89 - 66111.12,3.87 - 12.51
12252934.51 - 18464831.15,32321.75 - 40878.28,355.01 - 407.69,5235.35 - 7947.00,218.69 - 308.75,46318.89 - 66111.12,3.87 - 12.51
12252934.51 - 18464831.15,32321.75 - 40878.28,355.01 - 407.69,5235.35 - 7947.00,218.69 - 308.75,46318.89 - 66111.12,3.87 - 12.51
12252934.51 - 18464831.15,32321.75 - 40878.28,355.01 - 407.69,5235.35 - 7947.00,218.69 - 308.75,66111.12 - 91019.96,3.87 - 12.51
12252934.51 - 18464831.15,32321.75 - 40878.28,355.01 - 407.69,5235.35 - 7947.00,218.69 - 308.75,66111.12 - 91019.96,3.87 - 12.51
12252934.51 - 18464831.15,32321.75 - 40878.28,355.01 - 407.69,5235.35 - 7947.00,218.69 - 308.75,66111.12 - 91019.96,3.87 - 12.51
12252934.51 - 18464831.15,32321.75 - 40878.28,355.01 - 407.69,5235.35 - 7947.00,218.69 - 308.75,66111.12 - 91019.96,3.87 - 12.51
12252934.51 - 18464831.15,32321.75 - 40878.28,355.01 - 407.69,5235.35 - 7947.00,218.69 - 308.75,66111.12 - 91019.96,3.87 - 12.51
12252934.51 - 18464831.15,32321.75 - 40878.28,355.01 - 407.69,5235.35 - 7947.00,218.69 - 308.75,66111.12 - 91019.96,3.87 - 12.51
12252934.51 - 18464831.15,32321.75 - 40878.28,355.01 - 407.69,5235.35 - 7947.00,218.69 - 308.75,66111.12 - 91019.96,3.87 - 12.51
139066.00 - 2983911.75,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,38.21 - 83.89,8292.53 - 16488.92,3.87 - 12.51
139066.00 - 2983911.75,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,38.21 - 83.89,8292.53 - 16488.92,3.87 - 12.51
139066.00 - 2983911.75,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,38.21 - 83.89,8292.53 - 16488.92,3.87 - 12.51
139066.00 - 2983911.75,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,38.21 - 83.89,8292.53 - 16488.92,3.87 - 12.51
2983911.75 - 6866211.91,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,1.00 - 38.21,8292.53 - 16488.92,3.87 - 12.51
2983911.75 - 6866211.91,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,1.00 - 38.21,8292.53 - 16488.92,3.87 - 12.51
139066.00 - 2983911.75,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,1.00 - 38.21,8292.53 - 16488.92,3.87 - 12.51
139066.00 - 2983911.75,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,1.00 - 38.21,8292.53 - 16488.92,3.87 - 12.51
139066.00 - 2983911.75,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,1.00 - 38.21,8292.53 - 16488.92,3.87 - 12.51
139066.00 - 2983911.75,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,1.00 - 38.21,8292.53 - 16488.92,3.87 - 12.51
139066.00 - 2983911.75,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,1.00 - 38.21,8292.53 - 16488.92,3.87 - 12.51
139066.00 - 2983911.75,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,38.21 - 83.89,8292.53 - 16488.92,3.87 - 12.51
139066.00 - 2983911.75,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,38.21 - 83.89,8292.53 - 16488.92,3.87 - 12.51
139066.00 - 2983911.75,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,1.00 - 38.21,8292.53 - 16488.92,3.87 - 12.51
139066.00 - 2983911.75,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,1.00 - 38.21,8292.53 - 16488.92,3.87 - 12.51
139066.00 - 2983911.75,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,1.00 - 38.21,16488.92 - 29385.43,3.87 - 12.51
2983911.75 - 6866211.91,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,1.00 - 38.21,16488.92 - 29385.43,3.87 - 12.51
139066.00 - 2983911.75,5377.91 - 8752.42,56.82 - 100.27,174.00 - 1556.31,38.21 - 83.89,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,5377.91 - 8752.42,56.82 - 100.27,174.00 - 1556.31,38.21 - 83.89,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,5377.91 - 8752.42,56.82 - 100.27,174.00 - 1556.31,38.21 - 83.89,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,5377.91 - 8752.42,56.82 - 100.27,174.00 - 1556.31,38.21 - 83.89,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,5377.91 - 8752.42,56.82 - 100.27,174.00 - 1556.31,38.21 - 83.89,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,5377.91 - 8752.42,56.82 - 100.27,174.00 - 1556.31,38.21 - 83.89,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,5377.91 - 8752.42,56.82 - 100.27,174.00 - 1556.31,38.21 - 83.89,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,5377.91 - 8752.42,56.82 - 100.27,174.00 - 1556.31,38.21 - 83.89,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,5377.91 - 8752.42,56.82 - 100.27,174.00 - 1556.31,38.21 - 83.89,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,5377.91 - 8752.42,56.82 - 100.27,174.00 - 1556.31,38.21 - 83.89,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,5377.91 - 8752.42,56.82 - 100.27,174.00 - 1556.31,38.21 - 83.89,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,5377.91 - 8752.42,56.82 - 100.27,174.00 - 1556.31,38.21 - 83.89,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,5377.91 - 8752.42,56.82 - 100.27,174.00 - 1556.31,38.21 - 83.89,8292.53 - 16488.92,3.87 - 12.51
139066.00 - 2983911.75,5377.91 - 8752.42,56.82 - 100.27,174.00 - 1556.31,38.21 - 83.89,8292.53 - 16488.92,3.87 - 12.51
139066.00 - 2983911.75,5377.91 - 8752.42,56.82 - 100.27,174.00 - 1556.31,38.21 - 83.89,8292.53 - 16488.92,3.87 - 12.51
139066.00 - 2983911.75,5377.91 - 8752.42,56.82 - 100.27,174.00 - 1556.31,38.21 - 83.89,8292.53 - 16488.92,3.87 - 12.51
139066.00 - 2983911.75,5377.91 - 8752.42,56.82 - 100.27,174.00 - 1556.31,38.21 - 83.89,8292.53 - 16488.92,3.87 - 12.51
139066.00 - 2983911.75,1042.00 - 3196.96,7.00 - 56.82,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,1042.00 - 3196.96,7.00 - 56.82,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,1042.00 - 3196.96,7.00 - 56.82,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,1042.00 - 3196.96,7.00 - 56.82,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,1042.00 - 3196.96,7.00 - 56.82,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,1042.00 - 3196.96,7.00 - 56.82,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,1042.00 - 3196.96,7.00 - 56.82,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,1042.00 - 3196.96,7.00 - 56.82,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,1042.00 - 3196.96,7.00 - 56.82,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,1042.00 - 3196.96,7.00 - 56.82,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,1042.00 - 3196.96,7.00 - 56.82,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,1042.00 - 3196.96,7.00 - 56.82,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,1042.00 - 3196.96,7.00 - 56.82,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,1042.00 - 3196.96,7.00 - 56.82,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,1042.00 - 3196.96,7.00 - 56.82,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,1042.00 - 3196.96,7.00 - 56.82,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,1042.00 - 3196.96,7.00 - 56.82,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
12252934.51 - 18464831.15,40878.28 - 47539.03,466.10 - 517.50,7947.00 - 11173.19,408.61 - 485.13,29385.43 - 46318.89,12.51 - 28.31
12252934.51 - 18464831.15,40878.28 - 47539.03,466.10 - 517.50,7947.00 - 11173.19,408.61 - 485.13,29385.43 - 46318.89,12.51 - 28.31
12252934.51 - 18464831.15,40878.28 - 47539.03,466.10 - 517.50,7947.00 - 11173.19,408.61 - 485.13,29385.43 - 46318.89,12.51 - 28.31
12252934.51 - 18464831.15,40878.28 - 47539.03,466.10 - 517.50,7947.00 - 11173.19,408.61 - 485.13,29385.43 - 46318.89,12.51 - 28.31
